FID,,longitude,latitude,Drought,area_km2,area_ha
,,46.0876042,10.58165017,severe,36.47425,3647.42491
,,46.14432434,10.66357926,severe,36.47425,3647.42491
,,46.23255567,10.73920611,severe,36.47425,3647.42491
,,46.24713501,10.77565447,severe,36.47425,3647.42491
,,46.26224136,10.76391125,severe,36.47425,3647.42491
,,46.28635025,10.75062561,severe,36.47425,3647.42491
,,46.29197311,10.74701119,severe,36.47425,3647.42491
,,46.29785919,10.74064445,severe,36.47425,3647.42491
,,46.32053375,10.71055889,severe,36.47425,3647.42491
,,46.34241011,10.69168057,severe,36.47425,3647.42491
,,46.34472275,10.68968487,severe,36.47425,3647.42491
,,46.37467194,10.6874361,severe,36.47425,3647.42491
,,46.38240814,10.6873436,severe,36.47425,3647.42491
,,46.3840665,10.68672818,severe,36.47425,3647.42491
,,46.3980484,10.68153954,severe,36.47425,3647.42491
,,46.40781784,10.68168354,severe,36.47425,3647.42491
,,46.41572952,10.68012428,severe,36.47425,3647.42491
,,46.44966125,10.68072128,severe,36.47425,3647.42491
,,46.49295044,10.69658375,severe,36.47425,3647.42491
,,46.49772263,10.69913387,severe,36.47425,3647.42491
,,46.51883316,10.71041775,severe,36.47425,3647.42491
,,46.57934189,10.7257576,severe,36.47425,3647.42491
,,46.58839035,10.72745895,severe,36.47425,3647.42491
,,46.61024857,10.7272234,severe,36.47425,3647.42491
,,46.61997604,10.73054028,severe,36.47425,3647.42491
,,46.62854004,10.73430443,severe,36.47425,3647.42491
,,46.64084625,10.73557758,severe,36.47425,3647.42491
,,46.66678619,10.74503136,severe,36.47425,3647.42491
,,46.68987274,10.76089096,severe,36.47425,3647.42491
,,46.70609665,10.76587772,severe,36.47425,3647.42491
,,46.70688943,10.76667736,severe,36.47425,3647.42491
,,46.71691132,10.77678585,severe,36.47425,3647.42491
,,46.71713317,10.77685844,severe,36.47425,3647.42491
,,46.72270584,10.77868176,severe,36.47425,3647.42491
,,46.7419281,10.78599453,severe,36.47425,3647.42491
,,46.75858688,10.79442978,severe,36.47425,3647.42491
,,46.77111053,10.79776859,severe,36.47425,3647.42491
,,46.77191197,10.79857675,severe,36.47425,3647.42491
,,46.78100586,10.80774689,severe,36.47425,3647.42491
,,46.78127222,10.80785746,severe,36.47425,3647.42491
,,46.78785005,10.81058818,severe,36.47425,3647.42491
,,46.80015564,10.81569672,severe,36.47425,3647.42491
,,46.80764008,10.81880283,severe,36.47425,3647.42491
,,46.80825792,10.81949674,severe,36.47425,3647.42491
,,46.81568909,10.82784271,severe,36.47425,3647.42491
,,46.81602231,10.82793476,severe,36.47425,3647.42491
,,46.82775116,10.83117485,severe,36.47425,3647.42491
,,46.83445358,10.83537483,severe,36.47425,3647.42491
,,46.83464305,10.83571441,severe,36.47425,3647.42491
,,46.83948135,10.8443861,severe,36.47425,3647.42491
,,46.84570312,10.85019016,severe,36.47425,3647.42491
,,46.84582651,10.85022058,severe,36.47425,3647.42491
